,Hotel Name,Rating,Address,City Code,Place ID
1317,Maui Beach Hotel,3.7,"170 West Kaahumanu Avenue, Kahului",OGG,ChIJJwCz3N7SVHkRXqWINLrLXOE
1318,Maui Sunset,4.4,"1032 South Kihei Road, Kihei",OGG,ChIJhX9eG0TQVHkR418-ozVji8o
1319,Maui Coast Hotel,4.5,"2259 South Kihei Road, Kihei",OGG,ChIJ9QaO7qDaVHkR5yI5lfNlSOg
1320,The Hale Pau Hana,4.8,"2480 South Kihei Road, Kihei",OGG,ChIJnR4fuaPaVHkRj_dN_9_yVVI
1321,"Holiday Inn Express & Suites Sacramento Airport Natomas, an IHG Hotel",4.2,"2981 Advantage Way, Sacramento",SAC,ChIJM1QSh_spm4ARraE1WYfixbQ
1322,Hampton Inn & Suites Sacramento-Airport-Natomas,4.3,"3021 Advantage Way, Sacramento",SAC,ChIJz_XrEfwpm4ARZgOu1GHw-Pw
1323,Homewood Suites by Hilton Sacramento Airport-Natomas,4.2,"3001 Advantage Way, Sacramento",SAC,ChIJ2euq9fspm4ARDJNU9vy4YKY
1324,Four Points by Sheraton Sacramento International Airport,3.7,"4900 Duckhorn Drive, Sacramento",SAC,ChIJqVGyVwIqm4ARUMigG870MPY
1325,Worldwide Oakwood,4,"4101 Innovator Drive, Sacramento",SAC,ChIJxdU1aT3WmoARHjV5i7OKDWc
1326,Hampton Inn & Suites Norfolk-Airport,4.2,"1511 USAA Drive, Norfolk",ORF,ChIJ2407cfaWuokR6Y2N6L4kRdc
1327,Best Western Center Inn,3.8,"5718 Northampton Boulevard, Virginia Beach",ORF,ChIJsT-2OpyWuokRMIVM3DNjulc
1328,Residence Inn by Marriott Norfolk Airport,4,"1590 North Military Highway, Norfolk",ORF,ChIJhS21KveWuokRX2SwzyxdsHc
1329,La Quinta Inn & Suites by Wyndham Norfolk Airport,3.9,"1387 North Military Highway, Norfolk",ORF,ChIJiX36SliWuokR4O69vfL-4ak
1330,Red Roof Inn Virginia Beach - Norfolk Airport,3.2,"5745 Northampton Boulevard, Virginia Beach",ORF,ChIJNTTI8JyWuokRGAg71TOFzvY
1331,"Holiday Inn Express & Suites Reno Airport, an IHG Hotel",4.4,"2375 Market Street, Reno",RNO,ChIJX8m41WY_mYAR7oBrdT7oP9M
1332,Grand Sierra Resort and Casino,4.3,"2500 East 2nd Street, Reno",RNO,ChIJG7qnuls_mYARweP739kMgh8
1333,Peppermill Resort Spa Casino,4.4,"2707 South Virginia Street, Reno",RNO,ChIJ07LkRY9AmYARbPPabWOgb1I
1334,Nugget Casino Resort,3.8,"1100 Nugget Avenue, Sparks",RNO,ChIJxQpVnjo_mYARW9gkVzXSKgY
1335,Eldorado Resort Casino,4.2,"345 North Virginia Street, Reno",RNO,ChIJ080StzVHmYARD-YbD1sKARw
1336,Los Angeles Marriott Burbank Airport,4.3,"2500 North Hollywood Way, Burbank",BUR,ChIJdQ5F7aeVwoARAsQHeyQNLzA
1337,Ramada by Wyndham Burbank Airport,3.7,"2900 North San Fernando Boulevard, Burbank",BUR,ChIJ-TgkJgSVwoARnM1PziFoUb4
1338,Hampton Inn and Suites Los Angeles Burbank Airport,4.2,"7501 North Glenoaks Boulevard, Burbank",BUR,ChIJr3gi1gGVwoARg_Wq-IpPZqM
1339,Courtyard by Marriott Los Angeles Burbank Airport,4.2,"2100 Empire Avenue, Burbank",BUR,ChIJ1XWJhxKVwoAROqbHjEbClSc
1340,Extended Stay America - Los Angeles - Burbank Airport,3.6,"2200 Empire Avenue, Burbank",BUR,ChIJn9DknhKVwoARzZYfCk-I424
1341,Long Beach Marriott,4.4,"4700 Airport Plaza Drive, Long Beach",LGB,ChIJaxXXgyEy3YARo3UO0Y5o8ao
1342,"Holiday Inn Long Beach Airport, an IHG Hotel",4,"2640 North Lakewood Boulevard, Long Beach",LGB,ChIJGdQGnIkx3YARHcjYXaRh0NE
1343,Residence Inn by Marriott Long Beach,4.3,"4111 East Willow Street, Long Beach",LGB,ChIJV01VNogx3YARqMq1oDJEAxM
1344,Courtyard by Marriott Long Beach Airport,4.4,"3841 North Lakewood Boulevard, Long Beach",LGB,ChIJ13s5P0cy3YARKf-7H9rpskw
1345,Extended Stay America - Los Angeles - Long Beach Airport,3.2,"4105 East Willow Street, Long Beach",LGB,ChIJnyw1TYgx3YARWU25vbcqlF4
1346,Hampton Inn & Suites Providence/Warwick-Airport,3.2,"2100 Post Road, Warwick",PVD,ChIJaV_w2yhM5IkRf2AL3kRAuvU
1347,Holiday Inn Express & Suites Warwick-Providence (Airport),4.2,"901 Jefferson Boulevard, Warwick",PVD,ChIJH6DlNSRM5IkRPb0odTDwTEU
1348,Radisson Hotel Providence Airport,3.9,"2081 Post Road, Warwick",PVD,ChIJc9d88ChM5IkROk3cbd1z7q0
1349,Hilton Garden Inn Providence Airport/Warwick,4.3,"1 Thurber Street, Warwick",PVD,ChIJlROHX51O5IkRxnltsrLH7IY
1350,La Quinta Inn & Suites by Wyndham Warwick Providence Airport,3.6,"36 Jefferson Boulevard, Warwick",PVD,ChIJGxUFuPZO5IkRVXNj2eSaBnE
1351,Best Western Premier Waterfront Hotel & Convention Center,4.4,"1 North Main Street, Oshkosh",OSH,ChIJe7QFyfTrA4gRbIws5gZLRd0
1352,Hilton Garden Inn Oshkosh,4.1,"1355 West 20th Avenue, Oshkosh",OSH,ChIJaar5lr7uA4gRiK4T4ZwObi8
1353,Fairfield Inn & Suites by Marriott Oshkosh,3.9,"1800 South Koeller Street, Oshkosh",OSH,ChIJi-Sd0cXuA4gRAnIbjG7LjFY
1354,"Holiday Inn Express & Suites Oshkosh-Sr 41, an IHG Hotel",4.1,"2251 Westowne Avenue, Oshkosh",OSH,ChIJTU_emxjpA4gRlrVabv9oDcA
1355,"Motel 6 Oshkosh, WI",2.7,"1015 South Washburn Street, Oshkosh",OSH,ChIJKzzrFM3uA4gRYl0digf5Ar4
1356,Hilton Omaha,4.1,"1001 Cass Street, Omaha",OMA,ChIJVVxxHrqPk4cRG2Y67svzDxo
1357,Courtyard by Marriott Omaha Downtown/Old Market Area,4.3,"101 South 10th Street, Omaha",OMA,ChIJ11V5zrqPk4cRpmeVE18hdlA
1358,Hilton Garden Inn Omaha Downtown/Old Market Area,4.1,"1005 Dodge Street, Omaha",OMA,ChIJP_nuurqPk4cRr4gaAZTf6UU
1359,DoubleTree by Hilton Hotel Omaha Downtown,3.8,"1616 Dodge Street, Omaha",OMA,ChIJwdXLQLKPk4cRsqu7mX4skBY
1360,Magnolia Hotel Omaha,4.2,"1615 Howard Street, Omaha",OMA,ChIJvRwUUayPk4cRKeFqDLEl2NA
1361,"Crowne Plaza Louisville Airport Expo Ctr, an IHG Hotel",4.1,"830 Phillips Lane, Louisville",SDF,ChIJ-R6CU6YNaYgRAgpCmQr6wNQ
1362,Hilton Garden Inn Louisville Airport,4.4,"2735 Crittenden Drive, Louisville",SDF,ChIJSxoR5nMNaYgRVxION2i3fbY
1363,Courtyard by Marriott Louisville Airport,4,"819 Phillips Lane, Louisville",SDF,ChIJ0cgL3KMNaYgR9pGKS9MxiKs
1364,Red Roof Inn Louisville Expo Airport,3.3,"4704 Preston Highway, Louisville",SDF,ChIJHwJ3IUkMaYgR4NkP_JRB2Dc
1365,Ramada by Wyndham Louisville Expo Center,3.5,"2912 Crittenden Drive, Louisville",SDF,ChIJl7fCLnQNaYgRTmj9gFm0Vz4
1366,DoubleTree by Hilton Hotel Ontario Airport,4.2,"222 North Vineyard Avenue, Ontario",ONT,ChIJ_3xWE1o0w4ARNg29tIPPFvY
1367,Ontario Airport Hotel & Conference Center,4.1,"700 North Haven Avenue, Ontario",ONT,ChIJh8pUSqA1w4ARnmmYTDrKXUg
1368,"Holiday Inn Express & Suites Ontario Airport, an IHG Hotel",4.3,"2280 South Haven Avenue, Ontario",ONT,ChIJtcXnsjU1w4ARtLIf9Leuv9s
1369,Best Western Plus Ontario Airport & Convention Center,4.3,"209 North Vineyard Avenue, Ontario",ONT,ChIJ0QCww1s0w4ARDq52_JdEjLg
1370,Hilton Garden Inn Ontario/Rancho Cucamonga,4.3,"11481 Mission Vista Drive, Rancho Cucamonga",ONT,ChIJK4Dsu4Y1w4ARV524Sx2C4yQ
1371,Crowne Plaza Syracuse,4,"701 East Genesee Street, Syracuse",SYR,ChIJXxPu66Tz2YkRrDM-ZxvDhEE
1372,The Parkview Hotel,4.3,"713 East Genesee Street, Syracuse",SYR,ChIJrWsN9KTz2YkRFwo4vpFDe8I
